account_name,publisher_id,app_id,app_name,package_name,platform
MEDIA_TECH,pub-2958488332734345,ca-app-pub-2958488332734345~1088512660,Photomath,com.microblink.photomath,ANDROID
MEDIA_TECH,pub-2958488332734345,ca-app-pub-2958488332734345~1173532476,Voice Changer - Ai Voice Clone,com.mts.ai.voice.generator.voice.cloning,ANDROID
MEDIA_TECH,pub-2958488332734345,ca-app-pub-2958488332734345~1389256524,Cricket Fast Live Scores,com.mts.live.score.update.live.cricket.matches.update,ANDROID
MEDIA_TECH,pub-2958488332734345,ca-app-pub-2958488332734345~1446901666,Barcode Scan,unknown,ANDROID
MEDIA_TECH,pub-2958488332734345,ca-app-pub-2958488332734345~1497512407,What app downloader,unknown,ANDROID
MEDIA_TECH,pub-2958488332734345,ca-app-pub-2958488332734345~1543298318,PIP Camera Collage Maker and Photo Effects,com.pip.photo.collage2017,ANDROID
MEDIA_TECH,pub-2958488332734345,ca-app-pub-2958488332734345~1547272581,Pak Flag Face Pic Editor Free 2017,unknown,ANDROID
MEDIA_TECH,pub-2958488332734345,ca-app-pub-2958488332734345~1556783856,Testing,unknown,ANDROID
MEDIA_TECH,pub-2958488332734345,ca-app-pub-2958488332734345~1602595049,Street View - 3D Live camera,unknown,ANDROID
MEDIA_TECH,pub-2958488332734345,ca-app-pub-2958488332734345~1690771117,Cartoon Face Photo Editor : Suit Changer,com.cartoon.dress.photo.editor,ANDROID
MEDIA_TECH,pub-2958488332734345,ca-app-pub-2958488332734345~1771054712,Mirror Photo Editor and Collage Maker 2017,com.pocket.mirror.photoeditor,ANDROID
MEDIA_TECH,pub-2958488332734345,ca-app-pub-2958488332734345~1916326322,Software Update - App Updates,com.appresort.app.update.softwareupdate.updatesoftware.updateallapp.phoneupdates.appupdate,ANDROID
MEDIA_TECH,pub-2958488332734345,ca-app-pub-2958488332734345~1976188710,Fidget Spinner Screen Lock,unknown,ANDROID
MEDIA_TECH,pub-2958488332734345,ca-app-pub-2958488332734345~2201073517,Baby Girl Dress Photo Editor : Face Changer,com.baby.girl.dress.photo.editor,ANDROID
MEDIA_TECH,pub-2958488332734345,ca-app-pub-2958488332734345~2238604710,"Lite Cleaner 360 - Antivirus, Booster, Ram Cleaner",com.pocket.ram.boster,ANDROID
MEDIA_TECH,pub-2958488332734345,ca-app-pub-2958488332734345~2252092710,Girl Jacket Photo Suit Editor : Jacket Changer,com.girl.jacket.photo.editor,ANDROID
MEDIA_TECH,pub-2958488332734345,ca-app-pub-2958488332734345~2275777308,Insta Saver,unknown,ANDROID
MEDIA_TECH,pub-2958488332734345,ca-app-pub-2958488332734345~2298347915,Name on Photo,unknown,ANDROID
